name,cate_1,cate_2,cate_3,area,address,lon,lat,rate,distance,tag,cate_4,link
치즈쇼피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",대치동,서울특별시 강남구 선릉로64길 11-2,37.4980412690087,127.053261532356,0.0,1139.0,피자,패스트푸드,https://place.map.kakao.com/1764996484
맛난칼국수,분식,라면김밥분식,분식 및 김밥 전문점,대치동,서울특별시 강남구 삼성로 212,37.4996105819766,127.065897098053,5.0,1146.0,국수,국수,https://place.map.kakao.com/1523609624
놀부부대찌개철판구이,한식,부대찌개/섞어찌개,한식 음식점업,대치동,서울특별시 강남구 선릉로86길 37,37.504100503981,127.052653443004,1.0,599.0,"찌개,전골",국/탕,https://place.map.kakao.com/1067984705
청국장서갈비,한식,갈비/삼겹살,한식 음식점업,대치동,서울특별시 강남구 선릉로 420,37.5024863633718,127.050253504605,3.3,876.0,한식,한식,https://place.map.kakao.com/16501276
처갓집양념치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,대치동,서울특별시 강남구 선릉로66길 8,37.4984411732828,127.052566612482,2.5,1122.0,치킨,치킨,https://place.map.kakao.com/25971040
대치동함흥냉면,한식,냉면집,한식 음식점업,대치동,서울특별시 강남구 도곡로 424,37.4972596148278,127.056924267264,3.1,1157.0,냉면,국수,https://place.map.kakao.com/16048638
고운님,일식/수산물,수산물전문음식점-종합,한식 음식점업,대치동,서울특별시 강남구 영동대로86길 11,37.508073508150495,127.06501120492,3.8,641.0,"해물,생선",해물/생선,https://place.map.kakao.com/13319991
삼성골,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 영동대로86길 12,37.5078134808243,127.065172799171,4.5,654.0,한식,한식,https://place.map.kakao.com/636968425
한솥도시락,패스트푸드,도시락전문점,한식 음식점업,대치동,서울특별시 강남구 선릉로90길 56,37.5050715168437,127.053512070975,2.3,472.0,도시락,패스트푸드,https://place.map.kakao.com/17019416
올래곱창,한식,곱창/양구이전문,한식 음식점업,대치동,서울특별시 강남구 역삼로 420,37.5009665968304,127.052873995445,2.5,859.0,"곱창,막창",곱창/막창/순대,https://place.map.kakao.com/16065303
제주은희네해장국,한식,해장국/감자탕,한식 음식점업,삼성동,서울특별시 강남구 삼성로91길 28,37.506768682657,127.053909136476,2.5,354.0,해장국,국/탕,https://place.map.kakao.com/658195231
생선지존진땡이,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 영동대로106길 41,37.5142409210849,127.064402615689,0.0,938.0,"해물,생선",해물/생선,https://place.map.kakao.com/27227583
피자리아시오,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",대치동,서울특별시 강남구 삼성로63길 15,37.4996271909073,127.058907590324,4.2,897.0,양식,양식,https://place.map.kakao.com/26993273
수랏간,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 역삼로 410,37.5007168959931,127.052074160519,3.2,920.0,"육류,고기",육류/고기,https://place.map.kakao.com/1537249895
작은어촌,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 선릉로 318,37.4980610443852,127.052356538383,5.0,1168.0,회,해물/생선,https://place.map.kakao.com/16767458
김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,대치동,서울특별시 강남구 테헤란로114길 20,37.5083485623725,127.066749647748,2.3,797.0,분식,분식,https://place.map.kakao.com/16055870
신전떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,대치동,서울특별시 강남구 선릉로 420,37.5024863633718,127.050253504605,2.1,876.0,떡볶이,분식,https://place.map.kakao.com/731677827
전주집,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 테헤란로77길 11-9,37.5069394130027,127.05385042857,2.2,354.0,"육류,고기",육류/고기,https://place.map.kakao.com/16903839
깻잎치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,삼성동,서울특별시 강남구 테헤란로87길 17,37.5087322643722,127.058329544526,2.6,131.0,닭강정,치킨,https://place.map.kakao.com/1938120688
서울만두,분식,국수/만두/칼국수,분식 및 김밥 전문점,삼성동,서울특별시 강남구 테헤란로 517,37.5086083814458,127.05974496335,3.5,205.0,분식,분식,https://place.map.kakao.com/26965298
찰스김밥,분식,라면김밥분식,분식 및 김밥 전문점,대치동,서울특별시 강남구 선릉로 416,37.5020549005612,127.050383378895,2.8,900.0,분식,분식,https://place.map.kakao.com/23611877
본정돈까스,양식,돈가스전문점,서양식 음식점업,대치동,서울특별시 강남구 삼성로63길 17,37.4995715111052,127.058704717464,4.6,902.0,"돈까스,우동",일식/돈까스,https://place.map.kakao.com/16820983
레몬도시락,패스트푸드,도시락전문점,한식 음식점업,삼성동,서울특별시 강남구 삼성로 517,37.5080786526444,127.055464807235,2.0,208.0,도시락,패스트푸드,https://place.map.kakao.com/16534000
해초록사랑,일식/수산물,횟집,한식 음식점업,삼성동,서울특별시 강남구 삼성로 539,37.509838119311,127.054639549785,3.8,368.0,회,해물/생선,https://place.map.kakao.com/8674497
신호탕떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,삼성동,서울특별시 강남구 삼성로103길 12,37.510386662713,127.053377092173,0.0,492.0,떡볶이,분식,https://place.map.kakao.com/1672066067
일우별관,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 영동대로96길 37,37.5116636532106,127.065509367365,0.0,816.0,한식,한식,https://place.map.kakao.com/16054556
우노,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 테헤란로70길 10,37.504978610728,127.053162623111,4.7,503.0,"육류,고기",육류/고기,https://place.map.kakao.com/11188654
